pdb,resolution,year,affinity_raw,affinity_M,affinity_type,pKd,pocket_pdb,rna_pdb,lig_sdf,lig_mol2,n_rna_atoms,n_lig_atoms,rna_C,rna_N,rna_O,rna_P,rna_S,lig_C,lig_N,lig_O,lig_S,lig_F,lig_Cl,lig_Br,lig_I,lig_P,mol_weight,n_rings,n_hbd,n_hba,n_rot_bonds,tpsa,pocket_file,ligand_sdf,ligand_mol2,subtype,rs_subclass
1arj,NMR,1996,Kd=1mM,0.001,KD,3.0,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_ligand.mol2,641,12,190,75,141,20,0,6,4,2,0,0,0,0,0,0,175.212,0.0,4.0,2.0,5.0,131.41,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_ligand.mol2,viral_tar,other_lig
407d,2.20,1998,Kd=344nM,3.44e-07,KD,6.4634,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_ligand.mol2,657,48,189,74,148,18,0,31,11,6,0,0,0,0,0,0,663.7400000000001,4.0,6.0,7.0,14.0,205.61000000000004,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_ligand.mol2,duplex_groove,other_lig
408d,2.10,1998,Kd=48nM,4.8000000000000006e-08,KD,7.3188,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_ligand.mol2,618,47,176,70,150,17,0,31,11,5,0,0,0,0,0,0,648.7490000000001,4.0,6.0,6.0,14.0,182.55,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_ligand.mol2,duplex_groove,other_lig
1qms,NMR,1999,Kd=1nM,1e-09,KD,9.0,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_ligand.mol2,727,121,222,87,136,22,0,80,4,34,2,0,0,0,1,0,1883.9599999999991,10.0,11.0,38.0,39.0,463.7800000000002,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_ligand.mol2,other_misc,other_lig
1byj,NMR,1999,Kd=2uM,2e-06,KD,5.699,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_ligand.mol2,647,31,191,79,139,20,0,19,5,7,0,0,0,0,0,0,454.5890000000002,3.0,8.0,7.0,6.0,224.78,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_ligand.mol2,ribosomal_asite,other_lig
1db6,NMR,2000,Kd=0.1mM,0.0001,KD,4.0,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_ligand.mol2,445,12,136,53,85,14,0,6,5,1,0,0,0,0,0,0,175.236,0.0,5.0,1.0,5.0,134.36999999999998,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_ligand.mol2,other_misc,other_lig
1cvy,2.15,2000,Kd=0.38uM,3.8e-07,KD,6.4202,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_ligand.mol2,636,47,185,73,144,18,0,31,11,5,0,0,0,0,0,0,648.7490000000001,4.0,6.0,6.0,14.0,182.55,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_ligand.mol2,duplex_groove,other_lig
454d,1.20,2000,Kd=10nM,1e-08,KD,8.0,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_ligand.mol2,709,0,194,80,194,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_ligand.mol2,duplex_groove,other_lig
1cvx,2.27,2000,Kd=11uM,1.1e-05,KD,4.9586,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_ligand.mol2,623,48,185,73,131,18,0,31,11,6,0,0,0,0,0,0,663.7400000000001,4.0,6.0,7.0,14.0,205.61000000000004,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_ligand.mol2,duplex_groove,other_lig
1f27,1.30,2000,Kd=1uM,1e-06,KD,6.0,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_ligand.mol2,719,16,193,84,201,19,0,10,2,3,1,0,0,0,0,0,243.308,2.0,2.0,4.0,5.0,81.25999999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_ligand.mol2,aptamer,other_lig
1f1t,2.80,2000,Kd=40nM,4e-08,KD,7.3979,/home/stalin/Desktop/PDFL-RNA/NA-L/1f1t/1f1t_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1f1t/1f1t_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1f1t/1f1t_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1f1t/1f1t_ligand.mol2,654,0,192,81,140,20,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,/home/stalin/Desktop/PDFL-RNA/NA-L/1f1t/1f1t_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1f1t/1f1t_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1f1t/1f1t_ligand.mol2,aptamer,other_lig
1qd3,NMR,2000,Kd=5.9uM,5.9e-06,KD,5.2291,/home/stalin/Desktop/PDFL-RNA/NA-L/1qd3/1qd3_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qd3/1qd3_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qd3/1qd3_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1qd3/1qd3_ligand.mol2,605,42,179,67,136,19,0,23,6,13,0,0,0,0,0,0,620.6980000000001,4.0,13.0,13.0,9.0,362.83,/home/stalin/Desktop/PDFL-RNA/NA-L/1qd3/1qd3_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qd3/1qd3_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1qd3/1qd3_ligand.mol2,other_misc,other_lig
1fyp,NMR,2001,Kd=2.5uM,2.5e-06,KD,5.6021,/home/stalin/Desktop/PDFL-RNA/NA-L/1fyp/1fyp_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1fyp/1fyp_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1fyp/1fyp_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1fyp/1fyp_ligand.mol2,806,42,238,97,174,24,0,23,5,14,0,0,0,0,0,0,620.6740000000003,4.0,13.0,14.0,9.0,355.4199999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/1fyp/1fyp_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1fyp/1fyp_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1fyp/1fyp_ligand.mol2,ribosomal_asite,other_lig
1i9v,2.60,2001,Ki=342uM,0.0003419999999999,KI,3.466,/home/stalin/Desktop/PDFL-RNA/NA-L/1i9v/1i9v_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1i9v/1i9v_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1i9v/1i9v_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1i9v/1i9v_ligand.mol2,660,42,194,87,139,20,0,23,6,13,0,0,0,0,0,0,620.6980000000003,4.0,13.0,13.0,9.0,362.8299999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/1i9v/1i9v_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1i9v/1i9v_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1i9v/1i9v_ligand.mol2,ribosomal_asite,other_lig
1nzm,NMR,2003,IC50=0.33uM,3.3e-07,IC50,6.4815,/home/stalin/Desktop/PDFL-RNA/NA-L/1nzm/1nzm_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1nzm/1nzm_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1nzm/1nzm_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1nzm/1nzm_ligand.mol2,744,26,230,94,135,20,0,22,2,0,0,2,0,0,0,0,347.3880000000002,5.0,0.0,1.0,0.0,7.12,/home/stalin/Desktop/PDFL-RNA/NA-L/1nzm/1nzm_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1nzm/1nzm_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1nzm/1nzm_ligand.mol2,g_quadruplex,other_lig
1p96,NMR,2003,Kd=2.54uM,2.54e-06,KD,5.5952,/home/stalin/Desktop/PDFL-RNA/NA-L/1p96/1p96_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1p96/1p96_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1p96/1p96_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1p96/1p96_ligand.mol2,415,39,127,50,79,13,0,31,1,7,0,0,0,0,0,0,530.5970000000004,7.0,4.0,7.0,3.0,140.93,/home/stalin/Desktop/PDFL-RNA/NA-L/1p96/1p96_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1p96/1p96_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1p96/1p96_ligand.mol2,duplex_groove,other_lig
1qv8,2.50,2004,Kd=114nM,1.14e-07,KD,6.9431,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv8/1qv8_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv8/1qv8_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv8/1qv8_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv8/1qv8_ligand.mol2,677,34,203,79,138,20,0,27,7,0,0,0,0,0,0,0,452.5860000000002,6.0,3.0,4.0,4.0,68.27999999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv8/1qv8_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv8/1qv8_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv8/1qv8_ligand.mol2,duplex_groove,other_lig
1qv4,2.50,2004,Kd=124nM,1.24e-07,KD,6.9066,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv4/1qv4_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv4/1qv4_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv4/1qv4_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv4/1qv4_ligand.mol2,639,35,194,76,124,20,0,28,7,0,0,0,0,0,0,0,466.6130000000002,6.0,3.0,4.0,4.0,68.27999999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv4/1qv4_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv4/1qv4_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1qv4/1qv4_ligand.mol2,duplex_groove,other_lig
1r4e,NMR,2004,Kd=5.33uM,5.33e-06,KD,5.2733,/home/stalin/Desktop/PDFL-RNA/NA-L/1r4e/1r4e_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1r4e/1r4e_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1r4e/1r4e_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1r4e/1r4e_ligand.mol2,415,39,127,50,79,13,0,31,1,7,0,0,0,0,0,0,530.5970000000004,7.0,4.0,7.0,3.0,140.93,/home/stalin/Desktop/PDFL-RNA/NA-L/1r4e/1r4e_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1r4e/1r4e_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1r4e/1r4e_ligand.mol2,duplex_groove,other_lig
1q8n,NMR,2004,Kd=800nM,8.000000000000001e-07,KD,6.0969,/home/stalin/Desktop/PDFL-RNA/NA-L/1q8n/1q8n_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1q8n/1q8n_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1q8n/1q8n_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1q8n/1q8n_ligand.mol2,873,25,259,109,185,27,0,23,2,0,0,0,0,0,0,0,329.46700000000016,3.0,0.0,1.0,3.0,6.25,/home/stalin/Desktop/PDFL-RNA/NA-L/1q8n/1q8n_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1q8n/1q8n_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1q8n/1q8n_ligand.mol2,aptamer,other_lig
1uts,NMR,2004,Ki=0.039uM,3.9e-08,KI,7.4089,/home/stalin/Desktop/PDFL-RNA/NA-L/1uts/1uts_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1uts/1uts_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1uts/1uts_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1uts/1uts_ligand.mol2,475,30,141,52,107,15,0,24,5,1,0,0,0,0,0,0,410.5860000000004,4.0,4.0,2.0,10.0,89.12,/home/stalin/Desktop/PDFL-RNA/NA-L/1uts/1uts_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1uts/1uts_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1uts/1uts_ligand.mol2,viral_tar,other_lig
1uud,NMR,2004,Ki=1.54uM,1.54e-06,KI,5.8125,/home/stalin/Desktop/PDFL-RNA/NA-L/1uud/1uud_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1uud/1uud_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1uud/1uud_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1uud/1uud_ligand.mol2,703,25,208,81,155,22,0,16,7,2,0,0,0,0,0,0,354.4790000000002,1.0,7.0,2.0,12.0,162.34999999999997,/home/stalin/Desktop/PDFL-RNA/NA-L/1uud/1uud_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1uud/1uud_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1uud/1uud_ligand.mol2,viral_tar,other_lig
1yrj,2.70,2005,IC50=0.2uM,2e-07,IC50,6.699,/home/stalin/Desktop/PDFL-RNA/NA-L/1yrj/1yrj_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1yrj/1yrj_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1yrj/1yrj_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1yrj/1yrj_ligand.mol2,670,37,190,76,166,19,0,21,5,11,0,0,0,0,0,0,544.6230000000003,4.0,11.0,11.0,6.0,294.69999999999993,/home/stalin/Desktop/PDFL-RNA/NA-L/1yrj/1yrj_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1yrj/1yrj_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1yrj/1yrj_ligand.mol2,other_misc,other_lig
2bee,2.60,2005,Kd=0.10uM,1e-07,KD,7.0,/home/stalin/Desktop/PDFL-RNA/NA-L/2bee/2bee_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2bee/2bee_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2bee/2bee_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2bee/2bee_ligand.mol2,801,49,228,93,193,24,0,28,7,14,0,0,0,0,0,0,719.8310000000005,4.0,14.0,15.0,15.0,387.0499999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/2bee/2bee_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2bee/2bee_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2bee/2bee_ligand.mol2,ribosomal_asite,other_lig
2be0,2.63,2005,Kd=0.13uM,1.3e-07,KD,6.8861,/home/stalin/Desktop/PDFL-RNA/NA-L/2be0/2be0_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2be0/2be0_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2be0/2be0_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2be0/2be0_ligand.mol2,797,52,228,93,189,24,0,31,7,14,0,0,0,0,0,0,755.8640000000004,5.0,13.0,15.0,15.0,373.9199999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/2be0/2be0_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2be0/2be0_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2be0/2be0_ligand.mol2,ribosomal_asite,other_lig
1ykv,3.30,2005,Kd=10uM,1e-05,KD,5.0,/home/stalin/Desktop/PDFL-RNA/NA-L/1ykv/1ykv_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1ykv/1ykv_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1ykv/1ykv_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1ykv/1ykv_ligand.mol2,914,28,269,114,195,28,0,24,1,3,0,0,0,0,0,0,375.4680000000002,6.0,1.0,3.0,5.0,57.61,/home/stalin/Desktop/PDFL-RNA/NA-L/1ykv/1ykv_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1ykv/1ykv_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1ykv/1ykv_ligand.mol2,other_misc,other_lig
2g5k,2.80,2006,Kd=0.5uM,5e-07,KD,6.301,/home/stalin/Desktop/PDFL-RNA/NA-L/2g5k/2g5k_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2g5k/2g5k_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2g5k/2g5k_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2g5k/2g5k_ligand.mol2,746,37,209,90,165,22,0,21,5,11,0,0,0,0,0,0,544.6230000000003,4.0,11.0,11.0,6.0,294.69999999999993,/home/stalin/Desktop/PDFL-RNA/NA-L/2g5k/2g5k_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2g5k/2g5k_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2g5k/2g5k_ligand.mol2,ribosomal_asite,other_lig
2b57,2.15,2006,Kd=17nM,1.7e-08,KD,7.7696,/home/stalin/Desktop/PDFL-RNA/NA-L/2b57/2b57_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2b57/2b57_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2b57/2b57_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2b57/2b57_ligand.mol2,791,11,207,92,181,22,0,5,6,0,0,0,0,0,0,0,150.14499999999998,2.0,3.0,5.0,0.0,106.5,/home/stalin/Desktop/PDFL-RNA/NA-L/2b57/2b57_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/2b57/2b57_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/2b57/2b57_ligand.mol2,riboswitch,purine
